Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
Honda Civic,2019.0,44304,2,PETROL,WB-02,Automatic,Sedan,486000
Hyundai Creta,2017.0,60956,1,PETROL,MH-01,Automatic,SUV,954000
Mahindra XUV500,2013.0,98524,2,DIESEL,KA-05,Manual,Lux_SUV,716000
Maruti Alto,2020.0,18650,1,PETROL,GJ-05,Manual,HatchBack,381000
Hyundai Creta,2018.0,57263,1,DIESEL,UP-16,Automatic,SUV,1009000
Maruti Alto,2020.0,46607,1,PETROL,RJ-45,Manual,HatchBack,380000
Tata Tiago,2018.0,38575,2,PETROL,KA-01,Automatic,HatchBack,571000
Maruti Wagon R 1.0,2015.0,26677,1,PETROL,DL-8C,Manual,HatchBack,311000
Maruti Alto,2011.0,14547,1,PETROL,WB-06,Manual,HatchBack,137000
Maruti Alto 800,2018.0,33043,1,PETROL,PB-70,Manual,HatchBack,326000
Maruti IGNIS,2017.0,26530,1,PETROL,MH-47,Manual,HatchBack,488000
Mahindra XUV500,2016.0,88272,1,DIESEL,KA-03,Automatic,Lux_SUV,1120000
Maruti Vitara Brezza,2019.0,59517,1,DIESEL,MH-44,Manual,SUV,900000
Honda Jazz,2015.0,47617,2,PETROL,KA-01,Automatic,HatchBack,611000
Honda City,2017.0,96097,2,DIESEL,KA-03,Automatic,Sedan,611000
Maruti Alto 800,2017.0,12277,1,PETROL,GJ-15,Manual,HatchBack,320000
Volkswagen Polo,2011.0,31380,1,PETROL,DL-12,Manual,HatchBack,302000
Mahindra XUV500,2018.0,105290,1,DIESEL,TS-07,Manual,Lux_SUV,1222000
Maruti Alto 800,2017.0,41572,1,PETROL,MH-03,Manual,HatchBack,278000
Tata PUNCH,2022.0,8861,1,PETROL,KL-01,Manual,SUV,852000
Toyota YARIS,2019.0,27652,2,PETROL,TN-05,Manual,Sedan,724000
Skoda Rapid,2020.0,30761,1,PETROL,DL-10,Manual,Sedan,897000
Hyundai NEW SANTRO,2020.0,63783,1,PETROL,MP-13,Manual,HatchBack,445000
Maruti Baleno,2017.0,27985,1,PETROL,DL-8C,Manual,HatchBack,548000
Maruti Vitara Brezza,2016.0,66757,2,DIESEL,MH-43,Manual,SUV,696000
Maruti Alto 800,2018.0,21047,1,PETROL,DL-3C,Manual,HatchBack,304000
Maruti Alto,2021.0,15727,1,PETROL,GJ-05,Manual,HatchBack,407000
Honda Accord,2013.0,114653,1,PETROL,,Manual,Sedan,190000
Hyundai Elite i20,2018.0,14434,1,PETROL,KA-04,Automatic,HatchBack,768000
Honda Civic,2019.0,33836,1,PETROL,UP-16,Automatic,Sedan,981000
Hyundai i10,2010.0,81176,2,PETROL,CH-01,Manual,HatchBack,170000
Maruti Ritz,2014.0,82506,2,PETROL,MH-14,Manual,HatchBack,289000
Honda City,2017.0,35925,1,PETROL,TS-09,Automatic,Sedan,746000
Maruti Baleno,2017.0,38418,2,PETROL,TS-09,Manual,HatchBack,580000
Maruti Baleno,2018.0,28969,1,PETROL,MH-47,Manual,HatchBack,567350
Tata Tiago,2019.0,105021,2,PETROL,,Manual,HatchBack,520000
Honda Amaze,2017.0,77428,1,PETROL,KA-01,Automatic,Sedan,736000
Hyundai VENUE,2021.0,45930,1,PETROL,GJ-21,Manual,SUV,929000
Maruti Swift Dzire,2016.0,27306,1,DIESEL,HR-72,Manual,Sedan,964000
Renault Kwid,2017.0,45933,2,PETROL,GJ-05,Automatic,HatchBack,340000
Maruti Swift,2021.0,46960,2,PETROL,HR-26,Automatic,HatchBack,677000
Maruti Alto 800,2018.0,20827,2,PETROL,TN-21,Manual,HatchBack,323000
Maruti IGNIS,2018.0,35874,2,PETROL,DL-12,Manual,HatchBack,392000
Honda Amaze,2019.0,65358,2,PETROL,RJ-10,Manual,Sedan,597000
Maruti S Cross,2017.0,113633,1,DIESEL,MH-43,Manual,SUV,728000
Maruti Wagon R 1.0,2014.0,99368,2,CNG,MH-04,Manual,HatchBack,382000
Toyota YARIS,2020.0,11633,1,PETROL,KA-05,Manual,Sedan,899000
Honda Brio,2013.0,101340,1,PETROL,,Manual,HatchBack,260000
Hyundai Grand i10,2017.0,66442,1,PETROL,BR-31,Manual,HatchBack,383000
Honda CRV,2013.0,74039,2,PETROL,MH-05,Automatic,Lux_SUV,731000
Maruti Swift,2015.0,79324,1,PETROL,MH-12,Manual,HatchBack,480000
Maruti Swift,2011.0,56317,1,PETROL,KA-02,Manual,HatchBack,394000
Maruti Dzire,2018.0,14065,1,CNG,MH-05,Manual,Sedan,786000
Hyundai Santro Xing,2014.0,77426,1,PETROL,KA-32,Manual,HatchBack,295000
Maruti Baleno,2019.0,61195,2,PETROL,UP-14,Manual,HatchBack,550000
Honda WR-V,2021.0,12296,1,PETROL,BR-01,Manual,SUV,797000
Maruti A Star,2010.0,64103,2,PETROL,KA-02,Manual,HatchBack,221000
Nissan Micra Active,2014.0,65170,2,PETROL,TN-14,Manual,HatchBack,315000
Hyundai Verna,2011.0,97106,1,PETROL,DL-4C,Manual,Sedan,511000
Hyundai Creta,2017.0,63613,1,PETROL,TS-09,Automatic,SUV,1017000
Hyundai Creta,2018.0,58057,2,DIESEL,UP-16,Automatic,SUV,1007000
Renault Kwid,2021.0,21575,1,PETROL,MH-05,Automatic,HatchBack,510000
Ford FREESTYLE,2019.0,60765,1,DIESEL,GJ-38,Manual,SUV,589000
Maruti Vitara Brezza,2018.0,69862,1,DIESEL,DL-8C,Automatic,SUV,665000
Mahindra KUV 100 NXT,2017.0,51642,1,DIESEL,UP-14,Manual,SUV,507000
Hyundai Creta,2015.0,76888,1,PETROL,DL-8C,Manual,SUV,706000
Honda City,2021.0,48747,1,DIESEL,BR-01,Manual,Sedan,553650
Mahindra KUV 100 NXT,2018.0,61528,2,PETROL,GJ-05,Manual,SUV,382000
Honda Jazz,2016.0,56621,1,PETROL,MH-03,Automatic,HatchBack,535000
Maruti Baleno,2019.0,32098,1,PETROL,TS-09,Automatic,HatchBack,790000
Maruti Alto K10,2015.0,61108,1,PETROL,CH-01,Manual,HatchBack,281000
Maruti Swift Dzire,2014.0,65926,1,PETROL,KA-02,Manual,Sedan,455000
Maruti Dzire,2017.0,44270,2,PETROL,KA-51,Automatic,Sedan,674000
Maruti Alto 800,2013.0,48444,1,PETROL,KA-36,Manual,HatchBack,286000
Maruti Vitara Brezza,2019.0,54125,2,DIESEL,HR-26,Automatic,SUV,746000
Hyundai Elite i20,2018.0,36043,2,PETROL,KA-53,Manual,HatchBack,751000
Maruti Wagon R 1.0,2018.0,66619,1,CNG,UP-14,Manual,HatchBack,391000
Maruti Baleno,2018.0,79044,1,PETROL,GJ-27,Manual,HatchBack,575000
Hyundai Eon,2014.0,46798,2,PETROL,KA-04,Manual,HatchBack,311000
Toyota YARIS,2018.0,64638,1,PETROL,GJ-01,Automatic,Sedan,748000
Maruti Vitara Brezza,2020.0,32984,2,PETROL,MH-12,Manual,SUV,875000
Hyundai i10,2014.0,60541,2,PETROL,TN-14,Manual,HatchBack,335000
Renault Kiger,2021.0,27839,1,PETROL,KA-14,Manual,HatchBack,801000
Hyundai AURA,2021.0,20183,1,PETROL,DL-9C,Manual,Sedan,664000
Maruti S PRESSO,2021.0,32020,1,CNG,MH-01,Manual,HatchBack,472000
Maruti Ciaz,2019.0,91391,1,PETROL,UP-32,Manual,Sedan,668000
Maruti Swift Dzire,2015.0,37747,1,PETROL,GJ-06,Manual,Sedan,1218000
Honda Brio,2015.0,56663,2,PETROL,HR-26,Manual,HatchBack,324000
Maruti Celerio,2017.0,34665,2,PETROL,TS-25,Manual,HatchBack,451000
Ford Ecosport,2021.0,25576,2,PETROL,TS-06,Manual,SUV,1022000
Hyundai Verna,2017.0,109832,2,PETROL,,Manual,Sedan,525000
Maruti Alto,2020.0,44956,1,PETROL,HR-80,Manual,HatchBack,347000
Maruti Wagon R 1.0,2016.0,76459,1,PETROL,MH-14,Manual,HatchBack,418000
Maruti Swift Dzire,2014.0,91114,1,DIESEL,MH-43,Manual,Sedan,529000
Honda WR-V,2017.0,74445,2,PETROL,TS-07,Manual,SUV,724000
KIA CARENS,2022.0,10988,1,PETROL,KA-11,Manual,SUV,1660000
Nissan MAGNITE,2021.0,20338,2,PETROL,GJ-01,Automatic,SUV,827000
Maruti Celerio,2014.0,61807,3,PETROL,KA-51,Automatic,HatchBack,356000
Maruti Eeco,2022.0,2075,1,CNG,KL-01,Manual,SUV,552000
Maruti Baleno,2016.0,50090,1,PETROL,DL-8C,Automatic,HatchBack,515000
Hyundai NEW I20,2021.0,35529,1,PETROL,MH-14,Automatic,HatchBack,797000
Maruti Vitara Brezza,2018.0,70921,2,DIESEL,GJ-01,Manual,SUV,787000
Maruti Wagon R 1.0,2010.0,62714,2,PETROL,MH-02,Manual,HatchBack,261000
Hyundai Elite i20,2018.0,36283,1,DIESEL,KA-04,Manual,HatchBack,829000
Maruti Dzire,2019.0,40400,1,PETROL,GJ-13,Manual,Sedan,603000
Hyundai Elite i20,2016.0,78151,1,DIESEL,TS-08,Manual,HatchBack,612000
Hyundai Grand i10,2015.0,42280,2,PETROL,KA-01,Manual,HatchBack,474000
Maruti Wagon R 1.0,2017.0,83673,1,PETROL,DL-1C,Manual,HatchBack,307000
Hyundai Elite i20,2015.0,26750,1,PETROL,HR-26,Manual,HatchBack,505000
Mahindra TUV300,2015.0,115086,2,DIESEL,GJ-06,Manual,SUV,529000
Honda Amaze,2019.0,110974,1,PETROL,,Manual,Sedan,451000
Hyundai i20,2011.0,106094,1,PETROL,,Manual,HatchBack,243000
Hyundai Verna,2014.0,47609,1,PETROL,KA-01,Manual,Sedan,614000
Maruti Alto 800,2019.0,32402,1,PETROL,WB-26,Manual,HatchBack,301000
Hyundai Grand i10,2017.0,63011,1,PETROL,DL-10,Manual,HatchBack,463000
Honda Amaze,2015.0,37243,1,DIESEL,WB-02,Automatic,Sedan,891000
Honda WR-V,2017.0,54018,1,PETROL,WB-26,Manual,SUV,544000
Hyundai i20,2011.0,93658,2,PETROL,DL-4C,Manual,HatchBack,207000
Hyundai AURA,2020.0,103651,2,DIESEL,TN-22,Manual,Sedan,544000
Hyundai Grand i10,2015.0,71730,2,PETROL,KA-04,Manual,HatchBack,420000
Renault Kwid,2019.0,16926,2,PETROL,KA-20,Manual,HatchBack,440000
Maruti Baleno,2017.0,45167,2,PETROL,KA-05,Manual,HatchBack,678000
Maruti Alto K10,2017.0,48220,1,PETROL,PB-65,Manual,HatchBack,362000
Hyundai Elite i20,2014.0,48192,1,PETROL,DL-3C,Manual,HatchBack,474000
Ford Ecosport,2017.0,33921,1,PETROL,TN-12,Manual,SUV,722000
Maruti Dzire,2017.0,52033,2,DIESEL,MH-05,Automatic,Sedan,736000
Honda Amaze,2018.0,37455,1,PETROL,UP-78,Automatic,Sedan,594000
Hyundai Elite i20,2019.0,18784,1,PETROL,MH-14,Manual,HatchBack,711000
Maruti Vitara Brezza,2018.0,70167,2,DIESEL,TS-13,Manual,SUV,694000
Maruti Swift,2016.0,65991,2,PETROL,GJ-23,Manual,HatchBack,506000
Maruti Dzire,2017.0,81369,1,PETROL,HR-03,Manual,Sedan,553000
Maruti Ertiga,2014.0,52520,2,DIESEL,PB-10,Manual,SUV,504000
Maruti Swift,2017.0,105133,1,DIESEL,TS-07,Manual,HatchBack,593000
Honda Brio,2012.0,61544,2,PETROL,KA-03,Manual,HatchBack,333000
Hyundai Verna,2014.0,94941,1,PETROL,MH-43,Manual,Sedan,510000
Maruti Swift,2019.0,30045,1,PETROL,GJ-05,Manual,HatchBack,527000
Hyundai Elite i20,2016.0,62950,2,PETROL,MP-04,Manual,HatchBack,531000
Datsun Go,2016.0,42285,1,PETROL,BR-01,Manual,HatchBack,203000
Maruti Swift,2010.0,96216,2,PETROL,UP-16,Manual,HatchBack,189000
Toyota Etios Liva,2011.0,55314,1,PETROL,WB-06,Manual,HatchBack,213000
Maruti Alto 800,2016.0,62202,1,PETROL,WB-24,Manual,HatchBack,262000
Maruti Dzire,2018.0,24092,2,PETROL,WB-02,Manual,Sedan,720000
Hyundai NEW SANTRO,2018.0,56429,1,PETROL,KA-09,Manual,HatchBack,495000
Ford FREESTYLE,2019.0,60282,2,DIESEL,KA-01,Manual,SUV,703000
Maruti Alto,2022.0,653,1,PETROL,KA-04,Manual,HatchBack,474000
Maruti Ciaz,2018.0,80010,2,PETROL,PB-70,Manual,Sedan,678000
Maruti Vitara Brezza,2016.0,93194,1,DIESEL,MH-04,Manual,SUV,692000
Maruti New Wagon-R,2021.0,28231,1,CNG,MH-14,Manual,HatchBack,596000
Hyundai i10,2010.0,58084,2,PETROL,GJ-10,Manual,HatchBack,227000
Volkswagen Polo,2018.0,50674,2,PETROL,GJ-27,Manual,HatchBack,517000
Hyundai GRAND I10 NIOS,2019.0,42299,2,PETROL,UP-15,Manual,HatchBack,506000
Maruti Celerio,2015.0,91434,1,PETROL,TN-09,Manual,HatchBack,379000
Hyundai NEW SANTRO,2019.0,24043,1,PETROL,HR-87,Manual,HatchBack,483000
Volkswagen Polo,2016.0,66057,2,PETROL,MH-03,Automatic,HatchBack,569000
Renault TRIBER,2020.0,7922,1,PETROL,KA-03,Automatic,SUV,750000
Hyundai Grand i10,2019.0,34886,2,PETROL,MH-12,Automatic,HatchBack,651000
Maruti Dzire,2018.0,70986,1,PETROL,RJ-14,Automatic,Sedan,670000
Hyundai Verna,2016.0,72640,1,DIESEL,GJ-18,Manual,Sedan,1348000
Hyundai Elite i20,2016.0,47875,1,PETROL,TS-09,Manual,HatchBack,627000
Ford Ecosport,2020.0,96075,1,DIESEL,DL-3C,Manual,SUV,750000
Hyundai Grand i10,2018.0,82686,1,CNG,UP-14,Manual,HatchBack,467000
Tata Tiago,2021.0,37301,1,PETROL,BR-01,Automatic,HatchBack,572000
Maruti Alto,2019.0,42839,1,PETROL,GJ-03,Manual,HatchBack,380000
Honda Amaze,2019.0,67830,2,PETROL,GJ-04,Manual,Sedan,612000
Hyundai NEW SANTRO,2020.0,49799,2,CNG,MH-12,Manual,HatchBack,620000
Maruti Vitara Brezza,2016.0,66211,1,DIESEL,TN-01,Manual,SUV,837000
Maruti Ritz,2011.0,18136,1,PETROL,HR-51,Manual,HatchBack,202000
Maruti New Wagon-R,2019.0,92418,1,CNG,DL-12,Manual,HatchBack,483000
Hyundai Elite i20,2019.0,76579,1,DIESEL,BR-01,Manual,HatchBack,687000
Renault Kwid,2021.0,20531,1,PETROL,MH-14,Manual,HatchBack,470000
Honda City,2021.0,80672,2,DIESEL,TS-08,Manual,Sedan,854000
Hyundai Creta,2016.0,71048,2,PETROL,WB-12,Manual,SUV,634000
Maruti IGNIS,2017.0,41089,3,PETROL,KA-19,Manual,HatchBack,522000
Hyundai GRAND I10 NIOS,2020.0,64847,1,CNG,DL-7C,Manual,HatchBack,690000
Renault Kiger,2021.0,23725,1,PETROL,BR-01,Manual,HatchBack,521000
Honda WR-V,2021.0,21445,1,PETROL,UP-16,Manual,SUV,814000
Hyundai Eon,2015.0,43724,1,PETROL,KA-19,Manual,HatchBack,299000
Maruti Swift Dzire,2014.0,9439,1,PETROL,KA-03,Automatic,Sedan,1456000
Ford FREESTYLE,2021.0,57662,1,PETROL,KL-80,Manual,SUV,606000
Maruti Swift,2013.0,70254,3,PETROL,DL-6C,Manual,HatchBack,297000
Honda Brio,2018.0,42347,1,CNG,GJ-06,Manual,HatchBack,517000
Maruti Ciaz,2017.0,102497,1,DIESEL,TN-18,Manual,Sedan,836000
Hyundai GRAND I10 NIOS,2020.0,79978,1,PETROL,KA-51,Manual,HatchBack,645000
Honda Amaze,2018.0,61530,3,PETROL,MH-02,Manual,Sedan,331000
Maruti Vitara Brezza,2017.0,67646,1,DIESEL,UP-65,Manual,SUV,644000
Maruti IGNIS,2020.0,20764,1,PETROL,GJ-07,Manual,HatchBack,504000
Hyundai Grand i10,2017.0,114945,1,CNG,GJ-24,Manual,HatchBack,484000
Maruti Swift,2012.0,97310,1,PETROL,UP-80,Manual,HatchBack,301000
Hyundai Grand i10,2017.0,71686,1,PETROL,HR-16,Manual,HatchBack,417000
Renault Kwid,2018.0,60813,1,PETROL,KL-42,Manual,HatchBack,372000
Tata Tiago,2022.0,4301,1,CNG,UP-32,Manual,HatchBack,728000
Datsun Redi Go,2021.0,1415,2,PETROL,UP-32,Manual,HatchBack,375000
Toyota Corolla Altis,2017.0,49543,1,PETROL,CH-01,Manual,Lux_sedan,982000
Maruti New Wagon-R,2019.0,54490,1,PETROL,KL-07,Manual,HatchBack,540000
Hyundai Grand i10,2016.0,53162,1,PETROL,GJ-01,Manual,HatchBack,460000
Renault Kwid,2017.0,97675,1,PETROL,MH-03,Automatic,HatchBack,343000
Maruti Dzire,2018.0,67778,1,PETROL,UP-53,Automatic,Sedan,686000
Toyota Glanza,2019.0,28839,1,PETROL,TS-09,Manual,HatchBack,789000
Maruti Baleno,2021.0,37288,1,PETROL,CH-01,Manual,HatchBack,710000
Maruti New Wagon-R,2019.0,97574,1,CNG,HR-51,Manual,HatchBack,476000
Hyundai GRAND I10 NIOS,2022.0,15122,1,PETROL,HR-03,Manual,HatchBack,614000
Maruti New Wagon-R,2021.0,24191,1,CNG,MH-04,Manual,HatchBack,627000
Hyundai GRAND I10 NIOS,2021.0,27546,1,PETROL,MP-09,Automatic,HatchBack,692000
Maruti Ciaz,2021.0,60940,1,PETROL,KA-05,Manual,Sedan,658000
Maruti Alto,2021.0,22081,1,CNG,HR-51,Manual,HatchBack,461000
Maruti Swift,2017.0,44710,1,PETROL,DL-8C,Manual,HatchBack,428000
Honda Jazz,2016.0,46261,1,PETROL,PB-10,Manual,HatchBack,490000
Maruti Wagon R 1.0,2017.0,52293,1,CNG,MH-46,Manual,HatchBack,394000
Maruti Alto 800,2015.0,30790,1,PETROL,MH-12,Manual,HatchBack,253000
Skoda Rapid,2018.0,49805,1,PETROL,UP-16,Manual,Sedan,388000
Maruti New Wagon-R,2021.0,44769,1,CNG,UP-78,Manual,HatchBack,606000
Honda Brio,2013.0,65393,1,PETROL,DL-9C,Manual,HatchBack,264000
Maruti Baleno,2019.0,32201,2,PETROL,GJ-01,Manual,HatchBack,592000
Hyundai Grand i10,2017.0,21520,1,PETROL,MH-12,Manual,HatchBack,507000
Maruti Wagon R 1.0,2016.0,71761,1,PETROL,MH-50,Manual,HatchBack,404000
Honda Amaze,2015.0,78775,3,DIESEL,GJ-05,Manual,Sedan,368000
Hyundai i10,2010.0,82416,1,PETROL,KA-03,Manual,HatchBack,291000
Maruti Alto,2019.0,17101,2,PETROL,KA-51,Manual,HatchBack,374000
Honda City,2016.0,86290,1,PETROL,GJ-23,Manual,Sedan,757000
Tata ALTROZ,2021.0,19794,1,PETROL,KA-04,Manual,HatchBack,715000
Maruti Swift,2012.0,45386,1,PETROL,BR-09,Manual,HatchBack,313000
Hyundai i10,2012.0,63585,1,PETROL,HR-26,Manual,HatchBack,222000
Maruti Swift,2010.0,82598,2,PETROL,MH-03,Manual,HatchBack,260000
Hyundai i10,2011.0,49342,2,PETROL,WB-20,Manual,HatchBack,170000
Maruti Swift,2015.0,89200,1,PETROL,KA-50,Manual,HatchBack,479000
Maruti Swift,2020.0,9085,1,PETROL,KA-05,Manual,HatchBack,695000
Maruti Wagon R 1.0,2018.0,69638,1,CNG,MH-04,Manual,HatchBack,396000
Maruti Baleno,2018.0,83362,1,PETROL,GJ-01,Manual,HatchBack,577000
Ford Ecosport,2015.0,92975,1,PETROL,DL-10,Automatic,SUV,497000
Hyundai i10,2012.0,49341,1,PETROL,AP-28,Manual,HatchBack,322000
Hyundai NEW I20,2020.0,76360,1,PETROL,TS-12,Automatic,HatchBack,793000
Maruti Alto,2019.0,57850,1,CNG,MH-04,Manual,HatchBack,402000
Hyundai i10,2010.0,46972,2,PETROL,KA-51,Manual,HatchBack,305000
Maruti Vitara Brezza,2019.0,45144,1,DIESEL,DL-9C,Automatic,SUV,850000
Hyundai Elite i20,2019.0,29511,1,PETROL,KA-07,Manual,HatchBack,672000
Hyundai Verna,2013.0,45232,1,PETROL,KA-53,Manual,Sedan,556000
Maruti Wagon R 1.0,2018.0,32594,2,PETROL,HR-87,Manual,HatchBack,379000
Hyundai Grand i10,2019.0,37716,1,PETROL,KA-01,Manual,HatchBack,599000
Ford Ecosport,2018.0,31128,1,PETROL,MH-05,Automatic,SUV,785000
Renault TRIBER,2021.0,9003,1,PETROL,MH-12,Automatic,SUV,790000
Ford New Figo,2020.0,57668,2,DIESEL,BR-31,Manual,HatchBack,510000
Maruti Baleno,2016.0,35748,1,PETROL,MP-09,Manual,HatchBack,513000
Hyundai Grand i10,2019.0,33114,1,PETROL,GJ-05,Manual,HatchBack,564000
Maruti Wagon R 1.0,2015.0,64186,2,PETROL,TS-07,Automatic,HatchBack,405000
Maruti Baleno,2017.0,36540,1,PETROL,WB-26,Manual,HatchBack,447000
Tata ALTROZ,2022.0,5107,1,PETROL,TN-12,Automatic,HatchBack,952000
Maruti Swift,2016.0,97062,2,DIESEL,MP-09,Manual,HatchBack,454000
Hyundai Grand i10,2018.0,96534,1,PETROL,RJ-45,Manual,HatchBack,431000
Nissan MAGNITE,2022.0,11097,1,PETROL,UP-16,Manual,SUV,622000
Maruti Swift,2013.0,58209,1,PETROL,TN-18,Manual,HatchBack,422000
Maruti IGNIS,2017.0,102324,1,PETROL,,Manual,HatchBack,426000
Maruti Wagon R 1.0,2015.0,35153,1,PETROL,MH-01,Manual,HatchBack,333000
Maruti Ciaz,2017.0,74557,1,PETROL,RJ-07,Manual,Sedan,674000
Mahindra TUV300,2019.0,111198,1,DIESEL,TN-14,Manual,SUV,822000
Maruti A Star,2011.0,56992,1,PETROL,RJ-14,Automatic,HatchBack,269000
Maruti Baleno,2020.0,54743,1,PETROL,GJ-06,Manual,HatchBack,603000
Hyundai Grand i10,2014.0,36702,1,PETROL,GJ-05,Manual,HatchBack,393000
Hyundai Xcent,2017.0,91910,1,PETROL,HR-26,Manual,Sedan,695000
Volkswagen Polo,2011.0,42942,1,PETROL,KA-01,Manual,HatchBack,341000
Hyundai VENUE,2021.0,58177,1,DIESEL,TS-08,Manual,SUV,1155000
Tata NEXON,2021.0,73053,1,DIESEL,TS-34,Manual,SUV,991000
Volkswagen Vento,2016.0,48079,2,PETROL,KA-01,Automatic,Sedan,801000
Renault Kwid,2019.0,14052,1,PETROL,HR-72,Manual,HatchBack,425000
Maruti Baleno,2017.0,44715,1,PETROL,MH-03,Automatic,HatchBack,666000
Hyundai i10,2011.0,70117,2,PETROL,MH-12,Manual,HatchBack,245000
Hyundai i10,2015.0,41874,2,PETROL,GJ-06,Manual,HatchBack,339000
Maruti Ritz,2013.0,40973,1,PETROL,MH-02,Manual,HatchBack,301000
Renault Kiger,2021.0,48938,2,PETROL,KA-03,Automatic,HatchBack,1013000
Renault Kwid,2021.0,15512,2,PETROL,KA-51,Manual,HatchBack,467000
Maruti Dzire,2017.0,42385,2,PETROL,MH-40,Manual,Sedan,945000
Honda City,2017.0,88050,2,PETROL,RJ-45,Manual,Sedan,907350
Maruti Swift,2014.0,58358,1,PETROL,KA-19,Manual,HatchBack,499000
Volkswagen Polo,2017.0,54072,1,PETROL,MH-47,Manual,HatchBack,518000
Tata Tiago,2018.0,47983,1,PETROL,MH-03,Automatic,HatchBack,456000
Maruti Dzire,2018.0,41352,1,PETROL,KA-05,Automatic,Sedan,847000
Maruti Swift,2017.0,57454,2,CNG,MH-03,Manual,HatchBack,497000
Hyundai Elite i20,2019.0,63297,1,DIESEL,MP-41,Manual,HatchBack,719000
Maruti Wagon R 1.0,2011.0,79275,1,PETROL,DL-8C,Manual,HatchBack,202000
Maruti Wagon R 1.0,2015.0,71003,2,PETROL,TS-15,Manual,HatchBack,366000
Maruti Swift,2019.0,9664,1,PETROL,WB-20,Manual,HatchBack,604000
Maruti Baleno,2017.0,36573,3,PETROL,TN-14,Manual,HatchBack,610000
Hyundai i10,2012.0,35101,3,PETROL,KL-07,Automatic,HatchBack,348000
Hyundai Creta,2019.0,88561,1,DIESEL,HR-85,Manual,SUV,965000
Maruti OMNI E,2017.0,33600,1,PETROL,TN-85,Manual,SUV,279000
Hyundai Grand i10,2014.0,29575,1,PETROL,TN-22,Manual,HatchBack,413000
Hyundai Grand i10,2014.0,83041,2,PETROL,TN-14,Manual,HatchBack,430000
Hyundai Elite i20,2015.0,54106,1,PETROL,KA-51,Manual,HatchBack,670000
Hyundai Elite i20,2015.0,54154,1,PETROL,KA-01,Manual,HatchBack,664000
Renault Kiger,2021.0,33025,1,PETROL,DL-10,Manual,HatchBack,725000
Honda WR-V,2019.0,16859,1,PETROL,DL-4C,Manual,SUV,844000
Toyota Etios,2011.0,44512,1,CNG,GJ-02,Manual,Sedan,633000
Hyundai Creta,2015.0,55392,3,DIESEL,MH-03,Automatic,SUV,792000
Maruti Celerio,2017.0,77485,1,CNG,MH-47,Manual,HatchBack,450000
Maruti Dzire,2018.0,33302,1,PETROL,RJ-45,Manual,Sedan,607000
Honda Amaze,2019.0,19624,1,PETROL,TS-07,Automatic,Sedan,760000
Honda Amaze,2019.0,94218,1,DIESEL,KA-02,Manual,Sedan,611000
Maruti Wagon R 1.0,2015.0,28999,1,PETROL,UP-14,Manual,HatchBack,338000
Maruti Swift,2015.0,69946,2,PETROL,DL-12,Manual,HatchBack,396000
Maruti Celerio,2018.0,59028,1,PETROL,TS-17,Manual,HatchBack,477000
Ford Ecosport,2017.0,98410,1,PETROL,KL-63,Manual,SUV,575000
Hyundai Eon,2014.0,48407,1,PETROL,TN-43,Manual,HatchBack,293000
Datsun Redi Go,2021.0,3635,1,PETROL,PB-02,Manual,HatchBack,411000
Maruti Wagon R 1.0,2018.0,58165,2,PETROL,MP-04,Manual,HatchBack,383000
Hyundai Elite i20,2016.0,75268,1,PETROL,KA-20,Manual,HatchBack,559000
Honda City,2014.0,32178,1,PETROL,TN-19,Manual,Sedan,589000
Hyundai i10,2011.0,101142,1,PETROL,,Manual,HatchBack,180000
Hyundai i20 Active,2018.0,45675,2,PETROL,KA-01,Manual,HatchBack,699000
Honda City,2010.0,53384,1,PETROL,AP-09,Manual,Sedan,398000
Hyundai i10,2010.0,88062,2,PETROL,AP-29,Manual,HatchBack,240000
Maruti Ciaz,2020.0,89411,1,PETROL,KA-51,Automatic,Sedan,563000
Maruti Wagon R 1.0,2018.0,100362,1,CNG,DL-6C,Manual,HatchBack,405000
Honda City,2016.0,71731,2,PETROL,HR-51,Manual,Sedan,627000
Maruti S PRESSO,2022.0,14157,1,PETROL,GJ-01,Manual,HatchBack,563000
Hyundai Verna,2017.0,60804,1,PETROL,MH-15,Manual,Sedan,754000
Maruti Alto K10,2018.0,32278,1,PETROL,KA-51,Manual,HatchBack,390000
Honda Amaze,2015.0,55580,2,PETROL,KL-07,Manual,Sedan,507000
Maruti Celerio,2018.0,19557,2,PETROL,KA-03,Automatic,HatchBack,525000
Mahindra KUV 100 NXT,2020.0,15049,1,PETROL,MH-05,Manual,SUV,667000
Maruti Swift,2014.0,73889,1,PETROL,TS-07,Manual,HatchBack,471000
Maruti Wagon R 1.0,2012.0,104554,3,CNG,MH-03,Manual,HatchBack,223000
Honda Amaze,2014.0,53879,1,PETROL,HR-26,Manual,Sedan,207000
Hyundai Verna,2017.0,26830,1,PETROL,KA-41,Manual,Sedan,467000
Maruti Baleno,2017.0,37647,2,PETROL,MH-01,Manual,HatchBack,583000
Hyundai Elite i20,2018.0,69510,1,DIESEL,TS-08,Manual,HatchBack,749000
Maruti Swift Dzire,2014.0,69273,1,PETROL,WB-02,Manual,Sedan,333000
Honda Jazz,2017.0,70602,1,PETROL,KA-02,Automatic,HatchBack,707000
Maruti Swift Dzire,2012.0,14799,1,PETROL,MH-01,Manual,Sedan,468000
